frame;hr
6314;87
6329;87
6344;88
6359;88
6374;90
6389;90
6404;91
6419;93
6434;93
6449;93
6464;93
6479;93
6494;93
6509;93
6524;93
6539;93
6554;93
6569;92
6584;92
6599;92
6614;92
6629;92
6644;93
6659;93
6674;93
6689;93
6704;94
6719;94
6734;95
6749;95
6764;96
6779;97
6794;97
6809;97
6824;99
6839;99
6854;99
6869;99
6884;99
6899;99
6914;99
6929;99
6944;97
6959;97
6974;97
6989;97
7004;97
7019;97
7034;96
7049;96
7064;97
7079;97
7094;97
7109;97
7124;99
7139;99
7154;99
7169;101
7184;101
7199;101
7214;101
7229;101
7244;100
7259;100
7274;99
7289;99
7304;98
7319;98
7334;98
7349;98
7364;97
7379;97
7394;97
7409;97
7424;97
7439;97
7454;96
7469;96
7484;96
7499;96
7514;96
7529;97
7544;97
7559;97
7574;97
7589;97
7604;96
7619;96
7634;96
7649;96
7664;97
7679;97
7694;97
7709;97
7724;97
7739;97
7754;96
7769;96
7784;95
7799;95
7814;94
7829;94
7844;94
7859;93
7874;93
7889;93
7904;94
7919;95
7934;95
7949;95
7964;96
7979;96
7994;96
8009;96
8024;96
8039;96
8054;97
8069;97
8084;97
8099;97
8114;97
8129;97
8144;97
8159;97
8174;97
8189;97
8204;98
8219;98
8234;98
8249;96
8264;96
8279;96
8294;96
8309;95
8324;94
8339;94
8354;94
8369;94
8384;94
8399;94
8414;94
8429;94
8444;95
8459;95
8474;96
8489;96
8504;96
8519;96
8534;97
8549;97
8564;97
8579;98
8594;98
8609;99
8624;99
8639;100
8654;100
8669;100
8684;99
8699;99
8714;98
8729;98
8744;96
8759;96
8774;96
8789;96
8804;95
8819;95
8834;95
8849;95
8864;93
8879;93
8894;93
8909;93
8924;93
8939;93
8954;93
8969;94
8984;94
8999;94
9014;94
9029;94
9044;94
9059;94
9074;95
9089;95
9104;94
9119;94
9134;94
9149;94
9164;93
9179;93
9194;92
9209;92
9224;92
9239;92
9254;92
9269;92
9284;93
9299;93
9314;93
9329;94
9344;94
9359;95
9374;95
9389;95
9404;95
9419;95
9434;95
9449;95
9464;95
9479;95
9494;95
9509;95
9524;95
9539;95
9554;96
9569;96
9584;96
9599;96
9614;96
9629;96
9644;96
9659;96
9674;96
9689;96
9704;96
9719;95
9734;95
9749;95
9764;94
9779;94
9794;94
9809;94
9824;94
9839;94
9854;94
9869;94
9884;93
9899;93
9914;92
9929;92
9944;92
9959;92
9974;92
9989;92
10004;92
10019;93
10034;93
10049;93
10064;93
10079;93
10094;93
10109;93
10124;94
10139;94
10154;94
10169;94
10184;94
10199;94
10214;94
10229;94
10244;94
10259;94
10274;94
10289;94
10304;94
10319;94
10334;94
10349;94
10364;94
10379;94
10394;95
10409;96
10424;96
10439;95
10454;95
10469;95
10484;94
10499;94
10514;94
10529;94
10544;93
10559;93
10574;93
10589;93
10604;93
10619;93
10634;93
10649;93
10664;93
10679;93
10694;93
10709;93
10724;95
10739;95
10754;96
10769;97
10784;97
10799;97
10814;98
10829;98
10844;98
10859;98
10874;98
10889;98
10904;98
10919;98
10934;96
10949;96
10964;94
10979;94
10994;94
11009;94
11024;95
11039;95
11054;96
11069;97
11084;97
11099;97
11114;97
11129;97
11144;97
11159;95
11174;95
11189;95
11204;94
11219;94
11234;92
11249;92
11264;92
11279;92
11294;92
11309;92
11324;92
11339;92
11354;92
11369;92
11384;92
11399;92
11414;92
11429;92
11444;93
11459;93
11474;93
11489;92
11504;92
11519;92
11534;92
11549;92
11564;92
11579;92
11594;91
11609;91
11624;92
11639;92
11654;92
11669;92
11684;91
11699;91
11714;91
11729;91
11744;91
11759;91
11774;91
11789;91
11804;93
11819;93
11834;94
11849;94
11864;94
11879;94
11894;94
11909;95
11924;97
11939;97
11954;97
11969;97
11984;97
11999;97
12014;97
12029;97
12044;97
12059;97
12074;97
12089;97
12104;98
12119;98
12134;99
12149;100
12164;100
12179;100
12194;101
12209;101
12224;101
12239;100
12254;100
12269;100
12284;98
12299;98
12314;97
12329;97
12344;93
12359;93
12374;92
12389;92
12404;91
12419;91
12434;92
12449;92
12464;92
12479;92
12494;93
12509;93
12524;93
12539;93
12554;93
12569;93
12584;93
12599;94
12614;94
12629;94
12644;94
12659;94
12674;94
12689;94
12704;94
12719;94
12734;93
12749;93
12764;93
12779;93
12794;93
12809;93
12824;92
12839;92
12854;91
12869;91
12884;90
12899;90
12914;90
12929;91
12944;91
12959;92
12974;92
12989;92
13004;92
13019;93
13034;93
13049;93
13064;93
13079;93
13094;92
