frame;hr
6824;92
6839;92
6854;92
6869;93
6884;93
6899;95
6914;95
6929;97
6944;97
6959;98
6974;98
6989;98
7004;99
7019;99
7034;99
7049;99
7064;99
7079;99
7094;99
7109;99
7124;99
7139;97
7154;97
7169;97
7184;97
7199;97
7214;97
7229;97
7244;97
7259;96
7274;96
7289;96
7304;96
7319;96
7334;96
7349;96
7364;96
7379;96
7394;96
7409;96
7424;96
7439;96
7454;96
7469;96
7484;96
7499;95
7514;95
7529;95
7544;95
7559;95
7574;94
7589;94
7604;94
7619;94
7634;94
7649;95
7664;95
7679;95
7694;95
7709;95
7724;96
7739;96
7754;97
7769;97
7784;97
7799;96
7814;96
7829;96
7844;96
7859;96
7874;96
7889;96
7904;96
7919;96
7934;96
7949;96
7964;96
7979;96
7994;96
8009;95
8024;95
8039;95
8054;95
8069;94
8084;93
8099;93
8114;93
8129;93
8144;93
8159;95
8174;95
8189;96
8204;96
8219;97
8234;97
8249;96
8264;96
8279;95
8294;95
8309;94
8324;94
8339;93
8354;93
8369;92
8384;92
8399;92
8414;92
8429;91
8444;91
8459;91
8474;91
8489;91
8504;90
8519;90
8534;90
8549;90
8564;90
8579;91
8594;91
8609;91
8624;91
8639;92
8654;92
8669;92
8684;92
8699;92
8714;92
8729;92
8744;92
8759;92
8774;92
8789;92
8804;91
8819;91
8834;90
8849;90
8864;89
8879;89
8894;89
8909;90
8924;90
8939;90
8954;90
8969;92
8984;92
8999;94
9014;94
9029;95
9044;95
9059;95
9074;95
9089;95
9104;95
9119;93
9134;93
9149;93
9164;92
9179;92
9194;89
9209;88
9224;88
9239;88
9254;88
9269;87
9284;87
9299;87
9314;87
9329;88
9344;88
9359;89
9374;89
9389;90
9404;90
9419;90
9434;90
9449;91
9464;91
9479;91
9494;91
9509;91
9524;91
9539;91
9554;91
9569;90
9584;90
9599;90
9614;90
9629;90
9644;90
9659;90
9674;90
9689;91
9704;91
9719;91
9734;91
9749;91
9764;91
9779;91
9794;91
9809;91
9824;91
9839;90
9854;90
9869;90
9884;90
9899;90
9914;90
9929;90
9944;91
9959;91
9974;91
9989;91
10004;91
10019;91
10034;91
10049;92
10064;92
10079;92
10094;92
10109;92
10124;92
10139;92
10154;92
10169;92
10184;92
10199;92
10214;92
10229;92
10244;92
10259;92
10274;92
10289;92
10304;92
10319;91
10334;91
10349;91
10364;91
10379;90
10394;90
10409;91
10424;91
10439;92
10454;92
10469;92
10484;92
10499;93
10514;93
10529;93
10544;93
10559;94
10574;94
10589;94
10604;95
10619;95
10634;96
10649;96
10664;96
10679;97
10694;97
10709;98
10724;98
10739;97
10754;97
10769;97
10784;97
10799;96
10814;96
10829;95
10844;95
10859;94
10874;94
10889;93
10904;93
10919;92
10934;92
10949;92
10964;92
10979;91
10994;91
11009;91
11024;91
11039;91
11054;91
11069;91
11084;91
11099;91
11114;91
11129;91
11144;92
11159;93
11174;93
11189;94
11204;94
11219;94
11234;94
11249;94
11264;94
11279;94
11294;94
11309;94
11324;94
11339;94
11354;95
11369;95
11384;95
11399;95
11414;95
11429;96
11444;96
11459;96
11474;96
11489;97
11504;97
11519;97
11534;97
11549;97
11564;97
11579;98
11594;98
11609;99
11624;99
11639;99
11654;99
11669;99
11684;100
11699;99
11714;99
11729;99
11744;99
11759;99
11774;99
11789;99
11804;99
11819;97
11834;97
11849;97
11864;97
11879;96
11894;96
11909;96
11924;96
11939;96
11954;96
11969;96
11984;96
11999;96
12014;96
12029;96
12044;96
12059;96
12074;95
12089;95
12104;95
12119;95
12134;95
12149;94
12164;94
12179;95
12194;95
12209;94
12224;94
12239;93
12254;93
12269;93
12284;93
12299;93
12314;93
12329;93
12344;93
12359;93
12374;93
12389;93
12404;94
12419;94
12434;94
12449;94
12464;95
12479;95
12494;95
12509;95
12524;95
12539;94
12554;94
12569;93
12584;93
12599;92
12614;92
12629;92
