frame;hr
7634;94
7649;96
7664;96
7679;99
7694;99
7709;101
7724;102
7739;102
7754;101
7769;101
7784;99
7799;99
7814;98
7829;98
7844;99
7859;99
7874;99
7889;98
7904;97
7919;97
7934;96
7949;96
7964;95
7979;95
7994;95
8009;94
8024;94
8039;94
8054;94
8069;95
8084;96
8099;96
8114;96
8129;96
8144;97
8159;97
8174;97
8189;97
8204;96
8219;96
8234;96
8249;96
8264;96
8279;96
8294;96
8309;96
8324;95
8339;95
8354;95
8369;94
8384;94
8399;94
8414;94
8429;94
8444;94
8459;94
8474;94
8489;94
8504;94
8519;95
8534;95
8549;95
8564;96
8579;97
8594;98
8609;98
8624;99
8639;99
8654;99
8669;99
8684;100
8699;100
8714;100
8729;101
8744;101
8759;101
8774;102
8789;103
8804;103
8819;104
8834;105
8849;105
8864;106
8879;106
8894;105
8909;105
8924;105
8939;105
8954;100
8969;100
8984;99
8999;99
9014;95
9029;95
9044;94
9059;94
9074;94
9089;92
9104;92
9119;92
9134;92
9149;92
9164;92
9179;91
9194;91
9209;91
9224;92
9239;92
9254;92
9269;92
9284;92
9299;92
9314;92
9329;92
9344;92
9359;92
9374;92
9389;92
9404;93
9419;93
9434;93
9449;93
9464;93
9479;92
9494;92
9509;92
9524;92
9539;92
9554;93
9569;93
9584;94
9599;94
9614;94
9629;94
9644;95
9659;95
9674;95
9689;95
9704;94
9719;94
9734;93
9749;93
9764;93
9779;93
9794;93
9809;93
9824;93
9839;93
9854;93
9869;93
9884;93
9899;92
9914;92
9929;92
9944;93
9959;93
9974;93
9989;93
10004;95
10019;95
10034;95
10049;95
10064;95
10079;95
10094;94
10109;94
10124;93
10139;93
10154;93
10169;93
10184;93
10199;93
10214;93
10229;93
10244;93
10259;92
10274;93
10289;93
10304;93
10319;93
10334;93
10349;93
10364;96
10379;96
10394;97
10409;97
10424;98
10439;98
10454;99
10469;99
10484;99
10499;99
10514;99
10529;99
10544;99
10559;99
10574;99
10589;99
10604;99
10619;99
10634;100
10649;100
10664;101
10679;101
10694;101
10709;101
10724;101
10739;101
10754;101
10769;101
10784;99
10799;99
10814;98
10829;98
10844;97
10859;97
10874;97
10889;95
10904;95
10919;94
10934;94
10949;94
10964;94
10979;94
10994;94
11009;94
11024;94
11039;94
11054;95
11069;95
11084;96
11099;96
11114;96
11129;96
11144;94
11159;94
11174;94
11189;94
11204;93
11219;93
11234;93
11249;93
11264;93
11279;94
11294;94
11309;94
11324;94
11339;94
11354;95
11369;95
11384;95
11399;95
11414;96
11429;96
11444;96
11459;96
11474;96
11489;96
11504;95
11519;95
11534;95
11549;95
11564;95
11579;96
11594;96
11609;96
11624;96
11639;97
11654;97
11669;98
11684;98
11699;99
11714;99
11729;99
11744;98
11759;98
11774;98
11789;98
11804;98
11819;98
11834;98
