frame;hr
5414;98
5429;98
5444;100
5459;100
5474;101
5489;102
5504;102
5519;102
5534;102
5549;102
5564;102
5579;102
5594;102
5609;102
5624;102
5639;102
5654;103
5669;103
5684;103
5699;103
5714;103
5729;103
5744;104
5759;104
5774;104
5789;104
5804;104
5819;104
5834;104
5849;104
5864;104
5879;103
5894;103
5909;103
5924;102
5939;102
5954;97
5969;97
5984;94
5999;94
6014;95
6029;95
6044;95
6059;95
6074;95
6089;95
6104;95
6119;95
6134;96
6149;96
6164;97
6179;97
6194;98
6209;97
6224;97
6239;97
6254;97
6269;97
6284;96
6299;96
6314;98
6329;98
6344;98
6359;98
6374;98
6389;98
6404;98
6419;98
6434;99
6449;99
6464;100
6479;100
6494;101
6509;101
6524;103
6539;103
6554;104
6569;104
6584;104
6599;102
6614;102
6629;102
6644;102
6659;102
6674;101
6689;101
6704;100
6719;100
6734;100
6749;100
6764;100
6779;100
6794;101
6809;101
6824;102
6839;102
6854;103
6869;103
6884;104
6899;104
6914;106
6929;106
6944;106
6959;106
6974;106
6989;106
7004;105
7019;105
7034;105
7049;105
7064;105
7079;105
7094;104
7109;104
7124;104
7139;104
7154;104
7169;104
7184;104
7199;104
7214;105
7229;105
7244;106
7259;106
7274;107
7289;108
7304;108
7319;109
7334;109
7349;109
7364;111
7379;111
7394;111
7409;111
7424;111
7439;111
7454;109
7469;109
7484;106
7499;106
7514;106
7529;106
7544;106
7559;106
7574;106
7589;106
7604;106
7619;107
7634;107
7649;107
7664;107
7679;109
7694;109
7709;109
7724;109
7739;109
7754;108
7769;108
7784;108
7799;108
7814;105
7829;105
7844;105
7859;105
7874;105
7889;105
7904;105
7919;105
7934;106
7949;106
7964;107
7979;108
7994;108
8009;109
8024;109
8039;108
8054;108
8069;108
8084;106
8099;106
8114;104
8129;104
8144;104
8159;104
8174;105
8189;105
8204;105
8219;105
8234;106
8249;106
8264;106
8279;106
8294;105
8309;105
8324;105
8339;105
8354;103
8369;104
8384;104
8399;104
8414;104
8429;104
8444;106
8459;106
8474;107
8489;107
8504;108
8519;108
8534;109
8549;109
8564;110
8579;110
8594;110
8609;110
8624;108
8639;108
8654;108
8669;108
8684;109
8699;109
8714;109
8729;110
8744;110
8759;110
8774;110
8789;110
8804;108
8819;108
8834;107
8849;107
8864;105
8879;105
8894;105
8909;105
8924;105
8939;105
8954;105
8969;105
8984;104
8999;104
9014;103
9029;103
9044;104
9059;104
9074;105
9089;105
9104;105
9119;107
9134;107
9149;107
9164;107
9179;107
9194;106
9209;106
9224;105
9239;105
9254;106
9269;106
9284;107
9299;107
9314;107
9329;107
9344;105
9359;105
9374;105
9389;104
9404;104
9419;104
9434;104
9449;105
9464;105
9479;105
9494;105
9509;105
9524;105
9539;105
9554;106
